PMID	Year	Title	MeshTerm
18920192	1947	Not Available.	Anemia,Anemia, Hemolytic,Humans,Leukemia, Myeloid,Leukocyte Count,Leukocytes,Liver,Liver Cirrhosis
17662019	2007	Lacunar stroke attributable to radiation-induced intracranial arteriopathy.	Adult,Basal Ganglia,Brain Infarction,Calcinosis,Diffusion Magnetic Resonance Imaging,Female,Humans,Infarction, Middle Cerebral Artery,Internal Capsule,Medulloblastoma,Middle Cerebral Artery,Radiotherapy,Thalamus,Tomography, X-Ray Computed
20542019	2010	Breath biomarkers for lung cancer detection and assessment of smoking related effects--confounding variables, influence of normalization and statistical algorithms.	Adult,Aged,Algorithms,Biomarkers,Breath Tests,Case-Control Studies,Data Interpretation, Statistical,Female,Humans,Lung Neoplasms,Male,Reference Values,Research Design,Smoking
2220199	1990	Production of interleukin 2 and expression of interleukin 2 receptors by pony peripheral blood lymphocytes after stimulation with a soluble fraction of Trypanosoma evansi.	Animals,Cells, Cultured,Horses,Interleukin-2,Lymphocyte Activation,Lymphocytes,Receptors, Interleukin-2,Trypanosoma
2242019	1990	Structure-activity studies with chiral isomers and with segments of the antimitotic marine peptide dolastatin 10.	Animals,Antineoplastic Agents,Cell Division,Depsipeptides,Leukemia L1210,Mice,Mitotic Index,Oligopeptides,Peptide Fragments,Stereoisomerism,Structure-Activity Relationship,Tubulin,Tumor Cells, Cultured
13020198	1952	Hematological disorders in guinea pigs carrying malignant tumors.	Animals,Carcinogens,Disease,Guinea Pigs,Hematologic Diseases,Hematopoietic System,Humans,Neoplasms,Neoplasms, Experimental,X-Rays
21720199	2011	Therapeutic monoclonal antibodies.	Animals,Antibodies, Monoclonal,Autoimmune Diseases,Communicable Diseases,Databases, Protein,Glycosylation,History, 19th Century,History, 20th Century,History, 21st Century,Humans,Immunization, Passive,Neoplasms
22019038	2011	Small prostate size and high grade disease--biology or artifact?	Aged,Artifacts,Humans,Male,Middle Aged,Neoplasm Staging,Organ Size,Prostate,Prostate-Specific Antigen,Prostatic Neoplasms
20190804	2011	O-GlcNAc transferase: a sweet new cancer target.	
21520195	2011	Resistance mutations define specific antiviral effects for inhibitors of the hepatitis C virus p7 ion channel.	Amantadine,Amino Acid Sequence,Antiviral Agents,Carcinoma, Hepatocellular,Cell Line, Tumor,Drug Resistance, Viral,Hepacivirus,Hepatitis C,Humans,Imino Sugars,Ion Channels,Liver Neoplasms,Molecular Sequence Data,Mutation,Polymorphism, Genetic,Treatment Outcome,Viral Proteins,Virus Replication
21520196	2011	Block of proliferation 1 (BOP1) plays an oncogenic role in hepatocellular carcinoma by promoting epithelial-to-mesenchymal transition.	Carcinoma, Hepatocellular,Cell Differentiation,Cell Line, Tumor,Cell Movement,Cell Proliferation,Cohort Studies,Disease Progression,Epithelial Cells,Epithelial-Mesenchymal Transition,Female,Humans,Liver,Liver Neoplasms,Male,Mesoderm,Middle Aged,Proteins,Proto-Oncogene Proteins c-myc,Up-Regulation
720195	1978	Shedding of T-lymphocyte plasmalemma during interaction with target cells. Detection and ultrastructure of "membranosomes".	Animals,Binding Sites, Antibody,Cell Membrane,Killer Cells, Natural,Leukemia L1210,Mice,Mice, Inbred C3H,Microscopy, Electron
20191333	2010	Safe switching from dasatinib to nilotinib after a 1-month off-drug period for persistent pleural effusion in patients with chronic myelogenous leukemia in chronic phase.	Aged,Antineoplastic Agents,Benzamides,Dasatinib,Drug Resistance, Neoplasm,Humans,Imatinib Mesylate,Leukemia, Myelogenous, Chronic, BCR-ABL Positive,Male,Middle Aged,Piperazines,Pleural Effusion,Protein Kinase Inhibitors,Pyrimidines,Substance Withdrawal Syndrome,Thiazoles
20191343	2010	Synthesis and antitumor screening of new 1,7-diphenyl-3-(1,3-disubstituted-1H-pyrazole-4-carbonyl)-1,2,4triazolo4,3-apyrimidin-5(1H)-ones.	Animals,Antibiotics, Antineoplastic,Antineoplastic Agents,Carcinoma, Ehrlich Tumor,Cell Line, Tumor,Doxorubicin,Drug Screening Assays, Antitumor,Indicators and Reagents,Magnetic Resonance Spectroscopy,Mass Spectrometry,Mice,Pyrimidinones,Spectrophotometry, Infrared,Triazoles
20195644	2010	Successful treatment of steroid-resistant nephrotic syndrome associated with WT1 mutations.	Administration, Oral,Adolescent,Angiotensin II Type 1 Receptor Blockers,Angiotensin-Converting Enzyme Inhibitors,Child,Cyclosporine,Drug Resistance,Drug Therapy, Combination,Female,Glomerulosclerosis, Focal Segmental,Humans,Injections, Intravenous,Male,Mutation,Nephrotic Syndrome,Prednisone,Proteinuria,Treatment Outcome,WT1 Proteins
20191379	2010	Targeting Id1 and Id3 by a specific peptide aptamer induces E-box promoter activity, cell cycle arrest, and apoptosis in breast cancer cells.	Antineoplastic Agents,Apoptosis,Aptamers, Peptide,Breast Neoplasms,Cell Cycle,Cell Proliferation,Cyclin-Dependent Kinase Inhibitor p21,Cyclin-Dependent Kinase Inhibitor p27,Dose-Response Relationship, Drug,E-Box Elements,Female,Gene Expression Regulation, Neoplastic,HeLa Cells,Humans,Inhibitor of Differentiation Protein 1,Inhibitor of Differentiation Proteins,Intracellular Signaling Peptides and Proteins,Neoplasm Proteins,Poly(ADP-ribose) Polymerases,Promoter Regions, Genetic,Protein Binding,Transcription Factor 3,Transfection,Two-Hybrid System Techniques,Up-Regulation
20191380	2010	Treatment of breast cancer through the application of irreversible electroporation using a novel minimally invasive single needle electrode.	Animals,Cell Line, Tumor,Electrochemotherapy,Electrodes,Female,Humans,Mammary Neoplasms, Experimental,Mice,Mice, Nude,Needles,Xenograft Model Antitumor Assays
20191381	2010	Increased MUTYH mutation frequency among Dutch families with breast cancer and colorectal cancer.	Adenomatous Polyposis Coli,Adult,Aged, 80 and over,Breast Neoplasms,Case-Control Studies,DNA Glycosylases,DNA Mutational Analysis,Female,Gene Frequency,Genetic Predisposition to Disease,Heredity,Heterozygote,Homozygote,Humans,Male,Middle Aged,Mutation,Netherlands,Odds Ratio,Pedigree,Phenotype,Risk Assessment,Risk Factors
20191433	2010	Using ChIP-based technologies to identify epigenetic modifications in disease-relevant cells.	Animals,Cells, Cultured,Chromatin Assembly and Disassembly,Chromatin Immunoprecipitation,Epigenesis, Genetic,Gene Expression Profiling,Gene Expression Regulation, Developmental,Gene Expression Regulation, Neoplastic,Gene Regulatory Networks,Genetic Predisposition to Disease,Humans,Neoplasms,Oligonucleotide Array Sequence Analysis,Stem Cells
20191452	2010	Neutrophil gelatinase-associated lipocalin (NGAL): a biomarker beyond the confines of nephrology.	Acute Disease,Acute-Phase Proteins,Biomarkers,Heart Failure,Humans,Kidney Diseases,Lipocalin-2,Lipocalins,Neoplasms,Predictive Value of Tests,Proto-Oncogene Proteins,Severity of Illness Index
20191464	2010	A case of apparently trivial flank pain.	Adrenal Gland Neoplasms,Adrenalectomy,Aged, 80 and over,Diagnosis, Differential,Flank Pain,Hematoma,Humans,Incidental Findings,Lymphoma, Non-Hodgkin,Male,Treatment Outcome
20191512	2010	Malignancy risk in patients with giant cell arteritis: a population-based cohort study.	Aged,Aged, 80 and over,Cohort Studies,Colonic Neoplasms,Female,Follow-Up Studies,Giant Cell Arteritis,Humans,Incidence,Male,Neoplasms,Risk Assessment
20191518	2010	Within-subregion relationship between bone marrow lesions and subsequent cartilage loss in knee osteoarthritis.	Aged,Bone Cysts,Bone Diseases,Bone Marrow Diseases,Cartilage Diseases,Cartilage, Articular,Cohort Studies,Female,Humans,Incidence,Knee Joint,Magnetic Resonance Imaging,Male,Middle Aged,Osteoarthritis, Knee
20191535	2010	Fear of recurrence: a case report of a woman breast cancer survivor with GAD treated successfully by CBT.	Anxiety Disorders,Breast Neoplasms,Cognitive Behavioral Therapy,Combined Modality Therapy,Conflict (Psychology),Family Relations,Fear,Female,Humans,Implosive Therapy,Middle Aged,Neoplasm Recurrence, Local,Personality Inventory,Psychometrics,Reality Testing,Relaxation Therapy,Social Isolation,Survivors
20191564	2010	Tumoral and tissue-specific expression of the major human beta-tubulin isotypes.	Gene Expression Regulation, Neoplastic,Humans,Neoplasms,Organ Specificity,Protein Isoforms,RNA, Messenger,Reverse Transcriptase Polymerase Chain Reaction,Tubulin
20191583	2010	Cancer preceding giant cell arteritis: a case-control study.	Adult,Age Factors,Aged,Aged, 80 and over,Case-Control Studies,Female,Giant Cell Arteritis,Humans,Male,Middle Aged,Neoplasms,Prevalence,Registries,Risk Factors,Sex Factors
20191601	2010	Modelling continuous exposures with a 'spike' at zero: a new procedure based on fractional polynomials.	Alcohol Drinking,Breast Neoplasms,Environmental Exposure,Female,Humans,Lung Neoplasms,Male,Models, Immunological,Models, Statistical,Prostate-Specific Antigen,Prostatic Neoplasms,Smoking
20191603	2010	Intraoperative magnetic resonance imaging in the surgical treatment of cerebral metastases.	Adolescent,Adult,Aged,Brain Neoplasms,Child,Female,Humans,Magnetic Resonance Imaging,Male,Middle Aged,Monitoring, Intraoperative
20191604	2010	Non-small cell lung carcinoma of the superior sulcus: The evolution of treatment outcomes with multimodality treatment at a single institution.	Adult,Aged,Combined Modality Therapy,Female,Humans,Lung Neoplasms,Male,Middle Aged,Small Cell Lung Carcinoma,Survival Rate,Treatment Outcome
20191608	2010	The neural cell adhesion molecule is involved in the metastatic capacity in a murine model of lung cancer.	Animals,Carcinoma, Non-Small-Cell Lung,Cell Adhesion,Cell Line, Tumor,Cell Movement,Cell Proliferation,Disease Models, Animal,Down-Regulation,Humans,Immunohistochemistry,Lung Neoplasms,Mice,Mice, Inbred BALB C,Neoplasm Metastasis,Neural Cell Adhesion Molecules,Protein Isoforms,RNA, Small Interfering
20191609	2010	PIM-1 gene RNA interference induces growth inhibition and apoptosis of prostate cancer cells and suppresses tumor progression in vivo.	Animals,Apoptosis,Blotting, Western,Cell Cycle,Cell Division,Cell Line, Tumor,Gene Silencing,Humans,Indicators and Reagents,Lipids,Male,Mice,Mice, Inbred BALB C,Mice, Nude,Prostatic Neoplasms,RNA, Small Interfering,Reverse Transcriptase Polymerase Chain Reaction,Transfection
20191610	2010	Angiosarcoma developing in a non-functioning arteriovenous fistula post-renal transplant.	Arteriovenous Shunt, Surgical,Hemangiosarcoma,Humans,Immunosuppression,Kidney Failure, Chronic,Kidney Transplantation,Male,Middle Aged,Postoperative Complications,Vascular Neoplasms
20191611	2010	Selecting treatment for hepatocellular carcinoma based on the results of hepatic resection and local ablation therapy.	Aged,Carcinoma, Hepatocellular,Catheter Ablation,Female,Hepatectomy,Humans,Liver Function Tests,Liver Neoplasms,Male,Middle Aged,Neoplasm Recurrence, Local
20191613	2010	Intra-operative contrast-enhanced ultrasound improves image enhancement in the evaluation of liver tumors.	Adult,Aged,Aged, 80 and over,Contrast Media,Female,Humans,Image Enhancement,Liver Neoplasms,Male,Middle Aged,Pilot Projects,Prospective Studies,Ultrasonography
20191612	2010	Androgen depletion up-regulates cadherin-11 expression in prostate cancer.	Androgens,Animals,Cadherins,Gene Expression Regulation, Enzymologic,Humans,Male,Mice,Mice, Nude,Neoplasm Proteins,Neoplasm Recurrence, Local,Orchiectomy,Promoter Regions, Genetic,Prostatic Neoplasms,Receptors, Androgen,Tumor Cells, Cultured,Up-Regulation,Xenograft Model Antitumor Assays
20191614	2010	On the estimation of disease prevalence by latent class models for screening studies using two screening tests with categorical disease status verified in test positives only.	Adult,Bayes Theorem,Breast Neoplasms,Computer Simulation,Female,Humans,Mammography,Middle Aged,Models, Statistical,Prevalence,Uterine Cervical Neoplasms,Vaginal Smears
20191615	2010	Interleukin-34 is expressed by giant cell tumours of bone and plays a key role in RANKL-induced osteoclastogenesis.	Adult,Aged,Animals,Anisoles,Bone Neoplasms,Bone Resorption,CD11b Antigen,Carcinoma, Giant Cell,Cell Adhesion,Cell Proliferation,Cell Survival,Cells, Cultured,Dose-Response Relationship, Drug,Female,Humans,Interleukins,Male,Mice,Mice, Inbred C57BL,Middle Aged,Neoplasm Proteins,Osteoclasts,Pyrimidines,RANK Ligand,Receptor, Macrophage Colony-Stimulating Factor,Signal Transduction,Young Adult
20191624	2010	Second salvage surgery for re-recurrent oral cavity and oropharynx carcinoma.	Adult,Aged,Aged, 80 and over,Carcinoma, Squamous Cell,Cohort Studies,Disease-Free Survival,Female,Humans,Male,Middle Aged,Mouth Neoplasms,Neoplasm Recurrence, Local,Oropharyngeal Neoplasms,Reoperation,Salvage Therapy,Survival Rate,Treatment Outcome
20191625	2010	Multimodal treatment of patients with minor salivary gland cancer in the case of recurrent disease.	Adenoma, Pleomorphic,Adult,Aged,Aged, 80 and over,Analysis of Variance,Carcinoma, Adenoid Cystic,Carcinoma, Mucoepidermoid,Chemotherapy, Adjuvant,Cohort Studies,Combined Modality Therapy,Disease-Free Survival,Female,Follow-Up Studies,Humans,Kaplan-Meier Estimate,Male,Middle Aged,Multivariate Analysis,Neoplasm Recurrence, Local,Neoplasm Staging,Proportional Hazards Models,Radiotherapy, Adjuvant,Retrospective Studies,Salivary Gland Neoplasms,Salivary Glands, Minor,Survival Analysis,Treatment Outcome
20191626	2010	Better understanding tumor-host interaction in head and neck cancer to improve the design and development of immunotherapeutic strategies.	Cell Transformation, Neoplastic,Head and Neck Neoplasms,Humans,Immunomodulation,Tumor Escape
20191627	2010	Future of the TNM classification and staging system in head and neck cancer.	Head and Neck Neoplasms,Humans,Neoplasm Staging,Prognosis
20191670	2010	Perineal ultrasound.	Adult,Anus Neoplasms,Child,Endosonography,Female,Female Urogenital Diseases,Humans,Image Processing, Computer-Assisted,Imaging, Three-Dimensional,Male,Male Urogenital Diseases,Neoplasm Staging,Pelvis,Perineum,Rectal Fistula,Rectal Neoplasms,Sensitivity and Specificity,Ultrasonography, Doppler, Color
20191724	2010	Decisions, decisions.	Decision Making,Humans,Male,Minnesota,Patient Education as Topic,Patient Participation,Patient-Centered Care,Prostatic Neoplasms
20191730	2010	You kids. Sometimes the best medicine is stopping care.	Aged,Euthanasia, Passive,Female,Humans,Hyperinsulinism,Infant,Leukemia, Myeloid, Acute,Male,Medical Futility,Quality of Life
20191740	2010	Not enough said.	Antipsychotic Agents,Female,Humans,Hyperprolactinemia,Male,Monitoring, Physiologic,Sex Characteristics,Sexuality,Women
20191756	2010	Colon cancer treatment costs for Medicare and dually eligible beneficiaries.	Aged,Aged, 80 and over,Colonic Neoplasms,Eligibility Determination,Female,Humans,Male,Medicare,Registries,United States
20191831	2010	Frozen section exam value in breast cancer.	Axilla,Breast Neoplasms,Female,Frozen Sections,Humans,Lymph Nodes,Lymphatic Metastasis,Meta-Analysis as Topic,Neoplasm Invasiveness,Neoplasm Staging,Predictive Value of Tests,Preoperative Care,Randomized Controlled Trials as Topic,Sensitivity and Specificity,Sentinel Lymph Node Biopsy
20191835	2010	Clinical and paraclinical diagnosis of pelvic endometriosis. Clinical study.	Abdominal Pain,Adult,Endometriosis,Female,Humans,Incidental Findings,Infertility, Female,Ovarian Cysts,Pelvic Pain,Polycystic Ovary Syndrome,Retrospective Studies,Salpingitis,Severity of Illness Index,Tissue Adhesions,Uterine Hemorrhage,Uterus
20191837	2010	Lymph node dissection in endometrial cancer.	Adult,Aged,Cohort Studies,Endometrial Neoplasms,Fallopian Tubes,Female,Humans,Hysterectomy,Lymph Node Excision,Middle Aged,Neoplasm Staging,Ovariectomy,Prognosis,Retrospective Studies,Risk Factors,Treatment Outcome
20191839	2010	Immunohistochemical evaluation of inflammatory reaction in a case of pilomatrixoma.	Antigens, CD,Antigens, CD20,Antigens, CD34,Antigens, Differentiation, Myelomonocytic,Biomarkers, Tumor,CD3 Complex,Child, Preschool,Eyelids,Female,Hair Diseases,Humans,Immunohistochemistry,Inflammation,Keratins, Hair-Specific,Pilomatrixoma,Proliferating Cell Nuclear Antigen,Skin Neoplasms
20191845	2010	Correlation of alcohol intake with breast cancer.	Adult,Aged,Alcohol Drinking,Breast Neoplasms,Case-Control Studies,Chi-Square Distribution,Dose-Response Relationship, Drug,Female,Humans,Incidence,Middle Aged,Odds Ratio,Risk Assessment,Risk Factors,Romania,Surveys and Questionnaires
20191859	2010	Multi-modal treatment in breast cancer. The prognostic role and correlation between relapse and metastasis.	Adolescent,Adult,Aged,Aged, 80 and over,Breast Neoplasms,Breast Neoplasms, Male,Chemotherapy, Adjuvant,Disease-Free Survival,Female,Humans,Lymphatic Metastasis,Male,Mastectomy,Middle Aged,Neoplasm Recurrence, Local,Neoplasm Staging,Prognosis,Radiotherapy, Adjuvant,Recurrence,Retrospective Studies,Romania,Survival Rate,Treatment Outcome
20191880	2010	Helicobacter pylori infection in children with celiac disease.	Abdominal Pain,Adolescent,Celiac Disease,Child,Child, Preschool,Diet, Gluten-Free,Endoscopy, Gastrointestinal,Female,Gastritis,Helicobacter Infections,Helicobacter pylori,Humans,Male,Retrospective Studies,Risk Factors,Severity of Illness Index
20191887	2010	Primary and secondary hepatic cancer--specifics of surgical treatment in correlation with disease stage.	Adult,Aged,Aged, 80 and over,Anti-Infective Agents, Local,Catheter Ablation,Ethanol,Female,Hepatectomy,Humans,Liver Neoplasms,Male,Middle Aged,Retrospective Studies,Survival Analysis,Treatment Outcome
20191893	2010	Micro- and nanoparticles--medical applications.	Autoimmune Diseases,Blood-Brain Barrier,Drug Carriers,Drug Compounding,Drug Delivery Systems,Humans,Nanomedicine,Nanoparticles,Neoplasms,Pharmaceutical Preparations
20191895	2010	Prognostic significance of leukemia-associated phenotype in correlation with other biologic markers in acute myeloid leukemia patients.	Adolescent,Adult,Aged,Aged, 80 and over,Biomarkers, Tumor,Disease Progression,Female,Humans,Leukemia, Myeloid, Acute,Male,Middle Aged,Phenotype,Predictive Value of Tests,Prognosis,Receptors, CCR5,Receptors, CXCR4,Receptors, Chemokine,Receptors, Cytokine,Receptors, Interleukin-3,Receptors, Interleukin-7,Retrospective Studies,Survival Analysis
20191896	2010	Using MLPA for large genomic rearrangements detection in breast cancer predisposition genes.	Biomarkers, Tumor,Breast Neoplasms,Female,Genes, BRCA1,Genetic Predisposition to Disease,Genetic Testing,Humans,Mutation,Nucleic Acid Amplification Techniques,Polymerase Chain Reaction,Sensitivity and Specificity
20191897	2010	Expression of CA-125 in ovarian cancer.	Adult,Biomarkers, Tumor,CA-125 Antigen,Carcinoma,Female,Humans,Neoplasm Staging,Ovarian Neoplasms,Predictive Value of Tests,Retrospective Studies,Sensitivity and Specificity
20191900	2010	Enhanced molecular techniques for the diagnosis of human papillomavirus infections.	Cervical Intraepithelial Neoplasia,Cervix Uteri,DNA, Viral,Female,Genotype,Human papillomavirus 16,Human papillomavirus 18,Humans,Papillomavirus Infections,Polymerase Chain Reaction,Reproducibility of Results,Sensitivity and Specificity,Uterine Cervical Neoplasms,Vaginal Smears
20191902	2010	Specifics of individual risks in a group of women with genital neoplasms.	Adult,Aged,Algorithms,Case-Control Studies,Endometrial Neoplasms,Female,Genital Diseases, Female,Genital Neoplasms, Female,Humans,Middle Aged,Ovarian Neoplasms,Pilot Projects,Predictive Value of Tests,Prevalence,Reproducibility of Results,Risk Factors,Romania,Sensitivity and Specificity,Surveys and Questionnaires,Uterine Cervical Neoplasms
20191923	2010	Racial disparities in urologic health care.	African Americans,Cultural Competency,Erectile Dysfunction,Healthcare Disparities,Humans,Kidney Transplantation,Life Expectancy,Male,Prostatic Neoplasms,Testicular Neoplasms,United States,Urinary Bladder Neoplasms,Urogenital Neoplasms
20191978	2010	Operative treatment of metastatic tumors of spine.	Biopsy,Humans,Neoplasm Invasiveness,Spinal Neoplasms,Treatment Outcome
20192011	2010	Thermography: a holistic approach to breast screening.	Breast Neoplasms,Female,Health Knowledge, Attitudes, Practice,Holistic Health,Humans,Mass Screening,Thermography,United States,Women's Health
20192023	2009	Oral malignant squamo-melanocytic tumor in a dog.	Animals,Carcinoma, Squamous Cell,Dog Diseases,Dogs,Female,Immunohistochemistry,Melanoma,Mouth Neoplasms,Treatment Outcome
20192025	2009	Symphyseal sparing rostral mandibulectomy.	Animals,Dog Diseases,Dogs,Lasers, Gas,Mandible,Mandibular Neoplasms,Mouth Neoplasms,Oral Surgical Procedures,Photography, Dental
20192053	2010	Application of K- and fuzzy c-means for color segmentation of thermal infrared breast images.	Algorithms,Breast Neoplasms,Female,Fuzzy Logic,Humans,Image Interpretation, Computer-Assisted,Infrared Rays,Pattern Recognition, Automated,Thermography
20192067	2010	NK cells, chemokines and chemokine receptors.	Animals,Chemokines,Humans,Killer Cells, Natural,Neoplasms,Receptors, Chemokine
20192068	2010	New views of modern medicine regarding treatment with stem cells, its practical and ethical consequences.	Biomedical Research,Embryonic Stem Cells,Ethics,Humans,Neoplasms,Stem Cell Transplantation
20192069	2010	Angiogenesis as part of the tumor "ecosystem" and possibilities to influence it.	Angiogenesis Inhibitors,Animals,Humans,Neoplasms,Neovascularization, Pathologic
20192070	2010	Very small breast cancer, HER2 positive, and trastuzumab in adjuvant treatment.	Antibodies, Monoclonal,Antibodies, Monoclonal, Humanized,Antineoplastic Agents,Breast Neoplasms,Chemotherapy, Adjuvant,Disease-Free Survival,Female,Humans,Prognosis,Receptor, ErbB-2,Survival Rate,Trastuzumab
20192071	2010	Demonstration of the effect of estrogen and progesterone receptors on survival in breast cancer without cytostatic and hormonal treatment in a small set of patients.	Breast Neoplasms,Female,Humans,Kaplan-Meier Estimate,Lymphatic Metastasis,Receptors, Estrogen,Receptors, Progesterone
20192072	2010	Long-term outcome of treatment for Hodgkin's disease: the University Hospital Sofia experience.	Adolescent,Adult,Child,Child, Preschool,Combined Modality Therapy,Female,Hodgkin Disease,Humans,Male,Prognosis,Risk Factors,Survival Rate,Young Adult
20192073	2010	Small-cell carcinoma of the ovary with breast metastases: a case report.	Aged,Bone Neoplasms,Breast Neoplasms,Carcinoma, Small Cell,Female,Humans,Ovarian Neoplasms
20192074	2010	Long-term response of liver metastases of breast cancer to capecitabine--case report.	Antimetabolites, Antineoplastic,Breast Neoplasms,Capecitabine,Carcinoma, Ductal, Breast,Deoxycytidine,Female,Fluorouracil,Humans,Liver Neoplasms,Middle Aged
20192075	2010	Bevacizumab administered along with chemotherapy results in an improvement in the overall survival in women with advanced breast cancer.	Angiogenesis Inhibitors,Antibodies, Monoclonal,Antibodies, Monoclonal, Humanized,Bevacizumab,Breast Neoplasms,Female,Humans,Survival Rate
20192076	2010	AVASTIN clinical registry.	Adult,Aged,Angiogenesis Inhibitors,Antibodies, Monoclonal,Antibodies, Monoclonal, Humanized,Antineoplastic Agents,Bevacizumab,Female,Humans,Male,Middle Aged,Neoplasms,Registries
20192107	2009	Smoking cessation interventions in cancer care: opportunities for oncology nurses and nurse scientists.	Humans,Neoplasms,Nursing Research,Oncology Nursing,Research Design,Smoking Cessation
20192114	2009	Interstitial infusion of erlotinib in the rodent brain.	Animals,Body Weight,Brain,Brain Neoplasms,Dose-Response Relationship, Drug,ErbB Receptors,Erlotinib Hydrochloride,Glioma,Microinjections,Neostriatum,Quinazolines,Rats,Rats, Nude
20192115	2009	Vinblastine-induced ultrastructural transition of microtubular scaffoldings in the SV40-transformed 3T3 murine fibroblasts.	3T3 Cells,Animals,Antineoplastic Agents, Phytogenic,Cell Transformation, Neoplastic,Crystallization,Culture Media,Golgi Apparatus,Mice,Microscopy, Electron,Microtubules,Ribosomes,Simian virus 40,Vinblastine
20192116	2009	Study of in vitro and in vivo effect of docosahexaenoic acid on rat C6 glioma.	Animals,Antineoplastic Agents,Body Weight,Brain Neoplasms,Cell Line, Tumor,Cell Survival,Cyclin-Dependent Kinase Inhibitor p27,Diet,Docosahexaenoic Acids,Eating,Fatty Acids,Female,Glioma,Linoleic Acid,Neoplasm Transplantation,RNA, Messenger,Rats,Rats, Wistar,Reverse Transcriptase Polymerase Chain Reaction,Survival Analysis,p21-Activated Kinases
20192117	2009	Anticancer drugs exert differential apoptotic and cytotoxic effects on glioblastoma primary cultures with various EGFR and bcl-2 profiles.	Adult,Aged,Antineoplastic Agents,Apoptosis,Biomarkers, Tumor,Blotting, Western,Brain Neoplasms,Cell Line, Tumor,Cell Survival,Cells, Cultured,Coloring Agents,ErbB Receptors,Flow Cytometry,Genes, bcl-2,Glial Fibrillary Acidic Protein,Glioblastoma,Humans,Immunohistochemistry,Middle Aged,Tetrazolium Salts,Thiazoles
20192118	2009	Therapeutic suppression of constitutive and inducible JAK\STAT activation in head and neck squamous cell carcinoma.	Angiogenesis Inhibitors,Animals,Antineoplastic Agents,Biotransformation,Blotting, Western,Carcinoma, Squamous Cell,Cell Line, Tumor,Cell Proliferation,Electrophoretic Mobility Shift Assay,Enzyme-Linked Immunosorbent Assay,Head and Neck Neoplasms,Immunohistochemistry,Indicators and Reagents,Male,Mice,Mice, Nude,Phosphorylation,Pyridines,STAT3 Transcription Factor,Signal Transduction,Tyrphostins,Vascular Endothelial Growth Factor A
20192119	2009	Inhibition of BCL2 expression and activity increases H460 sensitivity to the growth inhibitory effects of polyphenon E.	Apoptosis,Blotting, Western,Catechin,Cell Line, Tumor,Drug Resistance, Neoplasm,Gene Expression Regulation, Neoplastic,Genes, bcl-2,Humans,Lung Neoplasms,Membrane Potentials,Mitochondrial Membranes,Poly(ADP-ribose) Polymerases,Proto-Oncogene Proteins c-bcl-2,RNA, Neoplasm,RNA, Small Interfering,Tea
20192120	2009	Superselective intraarterial cerebral infusion of bevacizumab: a revival of interventional neuro-oncology for malignant glioma.	Adult,Angiogenesis Inhibitors,Antibodies, Monoclonal,Antibodies, Monoclonal, Humanized,Bevacizumab,Brain Neoplasms,Cerebral Angiography,Glioblastoma,Humans,Infusions, Intra-Arterial,Magnetic Resonance Imaging,Male,Mannitol,Microinjections
20192121	2009	P-170 peptides with low similarity to the human proteome: tracing an effective and safe biological way towards effective and safe cancer chemotherapy.	Amino Acid Sequence,Antibodies, Blocking,Antineoplastic Agents,Databases, Protein,Drug Resistance, Multiple,Drug Resistance, Neoplasm,Epitopes,Glycoproteins,Humans,Molecular Sequence Data,Peptide Fragments,Proteome
20192122	2009	Reactive oxygen species, especially O2+* in cancer mechanisms.	Carcinogens, Environmental,Cell Line, Tumor,Cell Shape,Cell Transformation, Neoplastic,Female,Fibroblasts,Humans,Lung Neoplasms,Membrane Potentials,Neoplasms,Radon,Reactive Oxygen Species,Simian virus 40
20192145	2010	The use of expandable cages in patients undergoing multilevel corpectomies for metastatic tumors in the cervical spine.	Aged,Bone Plates,Cervical Vertebrae,Female,Humans,Male,Middle Aged,Retrospective Studies,Spinal Fusion,Spinal Neoplasms,Treatment Outcome,Vertebroplasty
20192154	2010	Pigmented villonodular synovitis of the elbow treated with the Tsuge wide joint exposure technique.	Adult,Arthroplasty,Debridement,Elbow Joint,Female,Humans,Synovitis, Pigmented Villonodular,Treatment Outcome
20192182	2010	Ultrasensitive electrochemical immunosensor for oral cancer biomarker IL-6 using carbon nanotube forest electrodes and multilabel amplification.	Biomarkers, Tumor,Biosensing Techniques,Carcinoma, Squamous Cell,Cell Line, Tumor,Electrodes,Enzyme-Linked Immunosorbent Assay,Head and Neck Neoplasms,Humans,Immunoenzyme Techniques,Interleukin-6,Nanotubes, Carbon,Staining and Labeling
20192210	2010	First report on Cydonia oblonga Miller anticancer potential: differential antiproliferative effect against human kidney and colon cancer cells.	Antineoplastic Agents,Cell Line, Tumor,Cell Proliferation,Colonic Neoplasms,Humans,Kidney Neoplasms,Plant Extracts,Rosaceae
20192275	2010	The synthesis of a c(RGDyK) targeted SN38 prodrug with an indolequinone structure for bioreductive drug release.	Camptothecin,Cell Proliferation,Dose-Response Relationship, Drug,Drug Screening Assays, Antitumor,Female,Humans,Indolequinones,Integrin alphaVbeta3,KB Cells,Molecular Structure,NAD(P)H Dehydrogenase (Quinone),Oxidation-Reduction,Peptides, Cyclic,Prodrugs,Structure-Activity Relationship,Time Factors,Uterine Cervical Neoplasms
